月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
7,16,11,23.63333333,0.017306743,3.690263985,216.0226871,26.83234768,70,-54
7,16,12,23.51666667,0.016806693,2.902475714,199.9736322,29.61481477,77,-10
7,16,13,24.78333333,0.016348008,5.366852305,267.1032909,39.1783971,73,43
7,16,14,27.5,0.021205187,4.410245895,226.6254619,22.08613576,62,68
7,16,15,27.53333333,0.020283543,7.977295741,252.0922007,27.84614961,51,82
7,16,16,27.75,0.021283367,2.11991107,112.5429167,22.93137606,38,89
7,16,17,27.7,0.020002451,4.674714617,120.0772403,30.45228388,26,81
7,16,18,27.55,0.019341421,3.79665572,62.87842255,33.78836682,14,73
7,16,19,27.3,0.018579108,0,0,37.33036057,2,65
7,16,20,27.1,0.018356163,0,0,37.72400879,-8,57
7,16,21,27.01666667,0.018031966,0,0,39.39910896,-18,46
7,16,22,27,0.018013821,0,0,39.43084059,-26,34
7,16,23,25.05,0.015795952,0,0,44.38374052,-32,19
7,16,24,22.63333333,0.016620066,0,0,26.45533596,-34,3
7,17,1,22.8,0.017153012,0,0,23.67644378,-33,-14
7,17,2,23.4,0.017805032,0,0,22.34971706,-28,-29
7,17,3,23.78333333,0.0180418,0,0,22.72909147,-21,-42
7,17,4,23.96666667,0.018441327,0,0,21.05935734,-12,-53
7,17,5,24.01666667,0.018498447,0,0,20.94374909,-1,-63
7,17,6,24.78333333,0.018579328,21.95423286,63.12441389,24.32052387,10,-71
7,17,7,25.45,0.017661223,21.50610358,139.5278888,33.7242584,22,-79
7,17,8,26.53333333,0.018413938,3.789843294,128.4925429,34.39825115,34,-86
7,17,9,26.33333333,0.019084606,2.051606245,123.5467079,29.06552207,46,-85
7,17,10,26.28333333,0.019472613,2.602173229,164.4843752,26.35908018,58,-73
7,17,11,25.51666667,0.019221297,7.235188397,290.52029,23.98401961,70,-53
7,17,12,25.95,0.019081074,10.50703478,331.523603,27.10455512,76,-10
7,17,13,28.66666667,0.019398975,73.98533071,432.2573879,39.31859236,73,42
7,17,14,29.65,0.016240512,312.4662835,377.2882673,65.37517122,62,68
7,17,15,30.21666667,0.017070481,96.31480955,360.8142056,62.75273517,50,82
7,17,16,29.65,0.018398046,51.97300741,278.1465588,50.94436694,38,89
7,17,17,28.26666667,0.016944566,29.0069811,186.7131816,53.1966258,26,81
7,17,18,27.51666667,0.017628523,4.518877647,68.24619095,44.67040046,14,74
7,17,19,26.86666667,0.017639551,0,21.71253608,41.19876717,2,66
7,17,20,26.33333333,0.016635229,0,0,45.17980516,-9,57
7,17,21,26.05,0.016351868,0,0,45.65803348,-18,46
7,17,22,25.61666667,0.016351454,0,0,43.42574212,-26,34
7,17,23,25.98333333,0.016502945,0,0,44.27432663,-32,19
7,17,24,26.05,0.016788055,0,0,42.67154476,-34,3
7,18,1,25.83333333,0.016568458,0,0,43.05099441,-33,-14
7,18,2,25.61666667,0.015714824,0,0,47.86271182,-28,-29
7,18,3,25.51666667,0.016252164,0,0,43.59712126,-21,-43
7,18,4,25.63333333,0.016580769,0,0,41.93615327,-12,-54
7,18,5,25.68333333,0.017486273,0,0,36.08495617,-2,-63
7,18,6,26,0.016737147,145.4170853,74.08606983,42.75952825,10,-71
7,18,7,26.83333333,0.01600406,177.9373604,164.4739742,52.13545889,22,-79
7,18,8,27.4,0.015145822,420.4194445,205.2118682,61.17178499,34,-86
7,18,9,28.51666667,0.016442722,151.6430488,328.9163172,57.94182356,46,-85
7,18,10,28.7,0.015605869,80.81709309,382.3219665,64.74841147,58,-73
7,18,11,28.68333333,0.015336853,11.78343816,325.2077919,66.57103347,69,-53
7,18,12,28.55,0.015467339,6.949730096,298.852129,64.93471991,76,-10
7,18,13,28.03333333,0.015486586,14.91214469,349.6850898,62.06675632,73,42
7,18,14,27.38333333,0.018910258,3.056008641,188.9469743,35.64586433,62,68
7,18,15,27.58333333,0.019862231,2.52009847,150.8091444,30.70798498,50,81
7,18,16,27.15,0.018411671,1.926229308,107.1129058,37.62598775,38,89
7,18,17,26.91666667,0.018846662,0.972659353,55.11081802,33.6125701,26,81
7,18,18,26.35,0.01910396,0.466279533,22.09905176,29.0292185,14,74
7,18,19,25.76666667,0.017790531,0,0,34.50029384,2,66
7,18,20,26.11666667,0.019275944,0,0,26.73335771,-9,57
7,18,21,26.2,0.018266108,0,0,33.62776765,-18,46
7,18,22,26.01666667,0.017408139,0,0,38.32484865,-26,34
7,18,23,25.9,0.01555652,0,0,50.44127389,-32,19
7,18,24,25.96666667,0.015403266,0,0,51.87386777,-34,3
7,19,1,25.53333333,0.016057425,0,0,45.03447604,-33,-14
7,19,2,24.56666667,0.016132258,0,0,39.56701651,-29,-29
7,19,3,23.63333333,0.015043935,0,0,42.53752467,-21,-43
7,19,4,22.81666667,0.014481451,0,0,42.53204712,-12,-54
7,19,5,22.88333333,0.01454144,0,0,42.42470215,-2,-63
7,19,6,23.36666667,0.01535304,6.063319053,46.27156512,38.97707855,10,-71
7,19,7,25.21666667,0.01554346,89.97574785,162.6207295,47.01886115,22,-79
7,19,8,27.23333333,0.01546084,532.7124042,175.7981678,58.0482309,34,-87
7,19,9,28.88333333,0.015776696,393.4150807,275.2785516,64.5180149,46,-85
